// AS73xx Temperature compensation file

Temp [deg C];F1;F2;F3;F4;F5;F6;F7;F8;Clear;NIR
0.0;1.0464;1.0426;1.0382;1.0343;1.0229;1.0274;1.0213;1.0168;1.0319;1.0741
1.0;1.0443;1.0407;1.0364;1.0327;1.0217;1.0260;1.0200;1.0158;1.0303;1.0711
2.0;1.0422;1.0387;1.0346;1.0311;1.0206;1.0246;1.0188;1.0148;1.0287;1.0681
3.0;1.0402;1.0368;1.0327;1.0295;1.0194;1.0232;1.0175;1.0138;1.0271;1.0651
4.0;1.0381;1.0349;1.0309;1.0279;1.0182;1.0218;1.0163;1.0128;1.0255;1.0621
5.0;1.0361;1.0330;1.0291;1.0263;1.0170;1.0204;1.0150;1.0118;1.0239;1.0591
6.0;1.0340;1.0310;1.0273;1.0248;1.0158;1.0190;1.0137;1.0108;1.0223;1.0560
7.0;1.0319;1.0291;1.0255;1.0232;1.0146;1.0176;1.0125;1.0098;1.0207;1.0530
8.0;1.0299;1.0272;1.0236;1.0216;1.0134;1.0162;1.0112;1.0088;1.0191;1.0500
9.0;1.0278;1.0253;1.0218;1.0200;1.0122;1.0148;1.0100;1.0078;1.0176;1.0470
10.0;1.0258;1.0234;1.0200;1.0184;1.0110;1.0133;1.0087;1.0068;1.0160;1.0440
11.0;1.0232;1.0210;1.0180;1.0166;1.0099;1.0120;1.0079;1.0061;1.0144;1.0396
12.0;1.0206;1.0187;1.0160;1.0147;1.0088;1.0107;1.0070;1.0054;1.0128;1.0352
13.0;1.0180;1.0164;1.0140;1.0129;1.0077;1.0093;1.0061;1.0047;1.0112;1.0308
14.0;1.0155;1.0140;1.0120;1.0110;1.0066;1.0080;1.0052;1.0041;1.0096;1.0264
15.0;1.0129;1.0117;1.0100;1.0092;1.0055;1.0067;1.0044;1.0034;1.0080;1.0220
16.0;1.0103;1.0093;1.0080;1.0074;1.0044;1.0053;1.0035;1.0027;1.0064;1.0176
17.0;1.0077;1.0070;1.0060;1.0055;1.0033;1.0040;1.0026;1.0020;1.0048;1.0132
18.0;1.0052;1.0047;1.0040;1.0037;1.0022;1.0027;1.0017;1.0014;1.0032;1.0088
19.0;1.0026;1.0023;1.0020;1.0018;1.0011;1.0013;1.0009;1.0007;1.0016;1.0044
20.0;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000
21.0;0.9978;0.9978;0.9982;0.9984;0.9991;0.9988;0.9993;0.9994;0.9984;0.9960
22.0;0.9956;0.9957;0.9964;0.9967;0.9982;0.9975;0.9985;0.9988;0.9968;0.9920
23.0;0.9934;0.9935;0.9946;0.9951;0.9973;0.9963;0.9978;0.9982;0.9952;0.9880
24.0;0.9912;0.9914;0.9928;0.9935;0.9964;0.9950;0.9970;0.9975;0.9936;0.9839
25.0;0.9890;0.9892;0.9910;0.9919;0.9955;0.9938;0.9963;0.9969;0.9920;0.9799
26.0;0.9868;0.9871;0.9892;0.9902;0.9946;0.9926;0.9955;0.9963;0.9904;0.9759
27.0;0.9846;0.9849;0.9874;0.9886;0.9937;0.9913;0.9948;0.9957;0.9888;0.9719
28.0;0.9824;0.9827;0.9856;0.9870;0.9928;0.9901;0.9940;0.9951;0.9873;0.9679
29.0;0.9802;0.9806;0.9838;0.9854;0.9919;0.9888;0.9933;0.9945;0.9857;0.9639
30.0;0.9781;0.9784;0.9821;0.9837;0.9910;0.9876;0.9926;0.9939;0.9841;0.9598
31.0;0.9757;0.9760;0.9799;0.9818;0.9898;0.9860;0.9914;0.9929;0.9822;0.9557
32.0;0.9732;0.9736;0.9778;0.9799;0.9885;0.9845;0.9903;0.9919;0.9802;0.9515
33.0;0.9708;0.9711;0.9757;0.9780;0.9873;0.9829;0.9892;0.9909;0.9783;0.9473
34.0;0.9684;0.9687;0.9736;0.9761;0.9860;0.9813;0.9881;0.9899;0.9764;0.9431
35.0;0.9660;0.9662;0.9715;0.9742;0.9848;0.9797;0.9870;0.9889;0.9745;0.9389
36.0;0.9636;0.9638;0.9694;0.9723;0.9835;0.9782;0.9859;0.9880;0.9726;0.9348
37.0;0.9612;0.9614;0.9673;0.9703;0.9822;0.9766;0.9848;0.9870;0.9706;0.9306
38.0;0.9588;0.9589;0.9651;0.9684;0.9810;0.9750;0.9837;0.9860;0.9687;0.9264
39.0;0.9564;0.9565;0.9630;0.9665;0.9797;0.9734;0.9826;0.9850;0.9668;0.9222
40.0;0.9540;0.9541;0.9609;0.9646;0.9785;0.9719;0.9815;0.9840;0.9649;0.9181
41.0;0.9518;0.9518;0.9590;0.9629;0.9773;0.9704;0.9805;0.9831;0.9631;0.9144
42.0;0.9496;0.9496;0.9570;0.9611;0.9761;0.9690;0.9795;0.9822;0.9614;0.9107
43.0;0.9474;0.9474;0.9550;0.9594;0.9749;0.9676;0.9784;0.9813;0.9596;0.9070
44.0;0.9452;0.9452;0.9531;0.9576;0.9737;0.9661;0.9774;0.9804;0.9578;0.9033
45.0;0.9430;0.9430;0.9511;0.9559;0.9725;0.9647;0.9764;0.9794;0.9561;0.8996
46.0;0.9408;0.9408;0.9492;0.9541;0.9713;0.9632;0.9754;0.9785;0.9543;0.8959
47.0;0.9386;0.9386;0.9472;0.9524;0.9701;0.9618;0.9744;0.9776;0.9526;0.8922
48.0;0.9364;0.9364;0.9452;0.9506;0.9689;0.9604;0.9733;0.9767;0.9508;0.8885
49.0;0.9342;0.9341;0.9433;0.9489;0.9677;0.9589;0.9723;0.9758;0.9490;0.8848
50.0;0.9320;0.9319;0.9413;0.9471;0.9665;0.9575;0.9713;0.9749;0.9473;0.8811
51.0;0.9294;0.9294;0.9389;0.9450;0.9649;0.9556;0.9699;0.9734;0.9450;0.8770
52.0;0.9268;0.9268;0.9366;0.9429;0.9633;0.9537;0.9685;0.9719;0.9427;0.8729
53.0;0.9242;0.9242;0.9342;0.9407;0.9618;0.9518;0.9670;0.9705;0.9405;0.8688
