time	V(V_Tout,Vcm)	V(V_tin,Vcm)
0.000000000000000e+00	9.299950e-01	3.000000e-01
3.199999909497819e-08	9.299947e-01	2.999582e-01
5.907428200177117e-08	9.299938e-01	2.998000e-01
8.511652782734265e-08	9.299920e-01	2.995477e-01
1.193091605485287e-07	9.299859e-01	2.990562e-01
1.653688095420480e-07	9.299755e-01	2.981678e-01
2.151695735900531e-07	9.299610e-01	2.969451e-01
2.749099848718499e-07	9.299462e-01	2.951832e-01
3.331172392495758e-07	9.299112e-01	2.931792e-01
4.280369954752306e-07	9.298056e-01	2.895228e-01
5.784442746353801e-07	9.297110e-01	2.837888e-01
7.519851966148843e-07	9.296826e-01	2.785252e-01
9.517747481607614e-07	9.293928e-01	2.757350e-01
1.139664338369042e-06	9.286309e-01	2.775275e-01
1.338644540496020e-06	9.269990e-01	2.832778e-01
1.474844288885679e-06	9.256076e-01	2.886923e-01
1.596855300288083e-06	9.244851e-01	2.940661e-01
1.718627500547004e-06	9.234452e-01	2.989774e-01
1.839174842326560e-06	9.224798e-01	3.025701e-01
1.983056577828272e-06	9.213337e-01	3.038258e-01
2.176993809275211e-06	9.200505e-01	2.999389e-01
2.398313153559172e-06	9.197188e-01	2.907104e-01
2.529707366816863e-06	9.198186e-01	2.837253e-01
2.669214694118794e-06	9.197042e-01	2.761388e-01
2.808091682194978e-06	9.194903e-01	2.701461e-01
2.934180960965323e-06	9.192956e-01	2.679529e-01
3.099695522040814e-06	9.189012e-01	2.721979e-01
3.262322977151679e-06	9.178752e-01	2.846134e-01
3.419991388879105e-06	9.161057e-01	3.025441e-01
3.547594486770827e-06	9.145598e-01	3.189122e-01
3.688135378990154e-06	9.133479e-01	3.362952e-01
3.818075831702561e-06	9.126271e-01	3.483998e-01
3.984754759418533e-06	9.122273e-01	3.535298e-01
4.198131963325645e-06	9.126750e-01	3.427784e-01
4.420395841185270e-06	9.150010e-01	3.177872e-01
4.561613640160779e-06	9.177748e-01	2.986434e-01
4.679996099727642e-06	9.198545e-01	2.827624e-01
4.804532195593349e-06	9.218435e-01	2.693591e-01
