max_rpd,max_r2,criterio_R2,splitter_BestR2,max_depth_BestR2,min_samples_split_BestR2,min_samples_leaf_BestR2,features_BestR2,min_weight_fraction_leaf_BestR2, max_leaf_nodes_BestR2,criterio_BestRPD,splitter_BestRPD,max_depth_BestRPD,min_samples_split_BestRPD,min_samples_leaf_BestRPD,features_BestRPD,min_weight_fraction_leaf_BestRPD,max_leaf_nodes_BestRPD,random_num
         1.011168646697472, 0.021968573266876845, squared_error, best, 25, 2, 16, log2, 0, None, squared_error, best, 25, 2, 16, log2, 0, None, 0
         =============================================================

max_rpd,max_r2,criterio_R2,splitter_BestR2,max_depth_BestR2,min_samples_split_BestR2,min_samples_leaf_BestR2,features_BestR2,min_weight_fraction_leaf_BestR2, max_leaf_nodes_BestR2,criterio_BestRPD,splitter_BestRPD,max_depth_BestRPD,min_samples_split_BestRPD,min_samples_leaf_BestRPD,features_BestRPD,min_weight_fraction_leaf_BestRPD,max_leaf_nodes_BestRPD,random_num
         1.015032704283562, 0.02940079965407061, squared_error, best, 25, 4, 1, sqrt, 0, 32, squared_error, best, 25, 4, 1, sqrt, 0, 32, 0
         =============================================================
losses,learning_rate,n_estimators,subsample,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_depth,random_state,max_features,max_leaf_nodes,validation_fraction,n_iter_no_change,tol,random_num, max_r2, r2, rpd, max_rpd, 
1,0,3,0,0,0,5,0,1,0,1,0,0,0,6, 0.0007209664659418857, 0.0007202547087771238, 1.000360322008793, 1.0003606782723973
                                    *****  ***********************************

losses,learning_rate,n_estimators,subsample,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_depth,random_state,max_features,max_leaf_nodes,validation_fraction,n_iter_no_change,tol,random_num, max_r2, r2, rpd, max_rpd, 
1,0,3,0,0,0,5,0,1,0,2,0,0,0,6, 0.0007209664659418857, 0.0007205364946472059, 1.0003604630541134, 1.0003606782723973
                                    *****  ***********************************

losses,learning_rate,n_estimators,subsample,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_depth,random_state,max_features,max_leaf_nodes,validation_fraction,n_iter_no_change,tol,random_num, max_r2, r2, rpd, max_rpd, 
1,0,3,0,0,0,5,0,2,0,0,0,0,0,6, 0.0007217899966305286, 0.00072029443333399, 1.0003603418925504, 1.0003610904837015
                                    *****  ***********************************

losses,learning_rate,n_estimators,subsample,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_depth,random_state,max_features,max_leaf_nodes,validation_fraction,n_iter_no_change,tol,random_num, max_r2, r2, rpd, max_rpd, 
1,0,3,0,0,0,5,0,2,0,1,0,0,0,6, 0.0007217899966305286, 0.0007205364933827729, 1.0003604630534806, 1.0003610904837015
                                    *****  ***********************************

losses,learning_rate,n_estimators,subsample,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_depth,random_state,max_features,max_leaf_nodes,validation_fraction,n_iter_no_change,tol,random_num, max_r2, r2, rpd, max_rpd, 
1,0,3,0,0,0,5,0,2,0,2,0,0,0,6, 0.0007217899966305286, 0.0007215511812445063, 1.0003609709466323, 1.0003610904837015
                                    *****  ***********************************

losses,learning_rate,n_estimators,subsample,criterion,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_depth,random_state,max_features,max_leaf_nodes,validation_fraction,n_iter_no_change,tol,random_num, max_r2, r2, rpd, max_rpd, 
