max_rpd,max_r2,Best Random R2, Best Random RPD, losses_R2,learning_rate_R2,n_estimators_R2,subsample_R2,criterion_R2,min_samples_split_R2,min_samples_leaf_R2,min_weight_fraction_leaf_R2,max_depth_R2,max_features_R2,max_leaf_nodes_R2,validation_fraction_R2,n_iter_no_change_R2,tol_R2,losses_RPD,learning_rate_RPD,n_estimators_RPD,subsample_RPD,criterion_RPD,min_samples_split_RPD,min_samples_leaf_RPD,min_weight_fraction_leaf_RPD,max_depth_RPD,max_features_RPD,max_leaf_nodes_RPD,validation_fraction_RPD,n_iter_no_change_RPD,tol_RPD,random_numbers
 
 1.0003606782723973,0.0007209664659418857,6,6,huber,0.01,125,0.3,friedman_mse,2,32,0,3,None,None,1e-05,None,10,huber,0.01,125,0.3,friedman_mse,2,32,0,3,None,None,1e-05,None,10,6

 1.0003610904837015,0.0007217899966305286,6,6,huber,0.01,125,0.3,friedman_mse,2,32,0,3,None,1000,1e-05,None,10,huber,0.01,125,0.3,friedman_mse,2,32,0,3,None,1000,1e-05,None,10,6

 1.0003610904839624,0.0007217899971518893,6,6,huber,0.01,125,0.3,friedman_mse,2,32,0,7,None,None,1e-05,None,10,huber,0.01,125,0.3,friedman_mse,2,32,0,7,None,None,1e-05,None,10,6

 1.0003610904839642,0.000721789997155331,6,6,huber,0.01,125,0.3,friedman_mse,2,32,0.1,5,None,1000,1e-05,None,10,huber,0.01,125,0.3,friedman_mse,2,32,0.1,5,None,1000,1e-05,None,10,6

 1.000361090484075,0.0007217899973770425,6,6,huber,0.01,125,0.3,friedman_mse,2,32,0.1,11,None,1000,1e-05,None,10,huber,0.01,125,0.3,friedman_mse,2,32,0.1,11,None,1000,1e-05,None,10,6

 1.000361090484134,0.0007217899974949482,6,6,huber,0.01,125,0.5,friedman_mse,2,32,0.01,3,None,1000,1e-05,None,10,huber,0.01,125,0.5,friedman_mse,2,32,0.01,3,None,1000,1e-05,None,10,6

 1.0003610904841616,0.0007217899975497932,6,6,huber,0.01,125,0.5,friedman_mse,2,32,0.2,7,None,100,1e-05,None,10,huber,0.01,125,0.5,friedman_mse,2,32,0.2,7,None,100,1e-05,None,10,6

max_rpd,max_r2,Best Random R2, Best Random RPD, losses_R2,learning_rate_R2,n_estimators_R2,subsample_R2,criterion_R2,min_samples_split_R2,min_samples_leaf_R2,min_weight_fraction_leaf_R2,max_depth_R2,max_features_R2,max_leaf_nodes_R2,validation_fraction_R2,n_iter_no_change_R2,tol_R2,losses_RPD,learning_rate_RPD,n_estimators_RPD,subsample_RPD,criterion_RPD,min_samples_split_RPD,min_samples_leaf_RPD,min_weight_fraction_leaf_RPD,max_depth_RPD,max_features_RPD,max_leaf_nodes_RPD,validation_fraction_RPD,n_iter_no_change_RPD,tol_RPD,random_numbers
 
 1.0015328432633497,0.003058652080062396,6,6,huber,0.01,250,0.3,friedman_mse,2,32,0,3,None,None,1e-05,None,10,huber,0.01,250,0.3,friedman_mse,2,32,0,3,None,None,1e-05,None,10,6

